mantissa_bits,method,weighted_violation_ratio_mean,weighted_violation_ratio_std,violation_ratio_ll_mean,violation_ratio_ll_std,violation_ratio_embb_mean,violation_ratio_embb_std,fh_utilisation_mean,fh_utilisation_std,realised_load_mean,realised_load_std
6,point_forecast,0.0007121005942680611,0.0003965045205428183,0.00032679799415083,0.0004231942450005452,0.001090775456318978,0.00038153841713788316,0.42874742372288677,0.010168217604710384,0.42818363295917194,0.00934096123071371
6,proposed,0.0004406799179254404,0.00019333626942418382,0.00011514645877194189,0.0001994395169046384,0.0007590390931576704,0.00020189774375925143,0.42889007505154625,0.010140160413848657,0.42818363295917194,0.00934096123071371
6,queue_aware,0.0008988702275543637,0.00045187689080665477,0.0005815804838044499,0.0005725451414464532,0.0012105422373974279,0.00034058152115454786,0.4286767764321639,0.01018743354162727,0.42818363295917194,0.00934096123071371
6,reactive_prop,0.0012631567954183385,0.0009171573130290343,0.0015913968946387094,0.0015745678064313787,0.0009259773541879842,0.000269947756247125,0.4286483578985554,0.010122905197522772,0.42818363295917194,0.00934096123071371
9,point_forecast,0.025334198839750178,0.004849406299790216,0.014773314583991566,0.0017180168921697885,0.035752366909569004,0.008095450944269595,0.6124130565695077,0.013822463850284879,0.6310074590977269,0.013765627076841204
9,proposed,0.016030228255485817,0.0031613275259796793,0.011190262268590134,0.0006868577484611018,0.02080920337996225,0.005685076077859548,0.6198533427922293,0.013919867266187083,0.6310074590977269,0.013765627076841204
9,queue_aware,0.034461032028363175,0.005282579673352811,0.028048881110478516,0.0021746200162442225,0.04076471094275864,0.008521946360170106,0.6078435263437441,0.013532343184877258,0.6310074590977269,0.013765627076841204
9,reactive_prop,0.034255642967446896,0.0033927795790783238,0.0652588089433911,0.004720880471511043,0.0036863850005017587,0.001346923505301986,0.6189104608829935,0.015023279308146167,0.6310074590977269,0.013765627076841204
12,point_forecast,0.1141253342675434,0.010804108335509034,0.03747018800697827,0.0018132967353392026,0.18962600242772407,0.017908353813435394,0.7096741064188387,0.009155243259471788,0.8338312852362822,0.018190292922968827
12,proposed,0.10823266478768219,0.011933117810172469,0.03577883671380031,0.0015752763297014034,0.1796535413659224,0.021704718215107773,0.7163861787002954,0.012139848307586033,0.8338312852362822,0.018190292922968827
12,queue_aware,0.12615617507858598,0.010980889575408765,0.0598800918893854,0.003186306403253428,0.19144620633001688,0.017354656068180246,0.703486974022007,0.009775978234672992,0.8338312852362822,0.018190292922968827
12,reactive_prop,0.10718152142764165,0.00726123671830113,0.1879592275909203,0.0081287580720081,0.027521906111142663,0.006068047985318373,0.7746132491918017,0.017681722674733093,0.8338312852362822,0.018190292922968827
14,point_forecast,0.1792607791926548,0.01229183623720783,0.06058917678682352,0.0037601230538335333,0.2961664806279976,0.017363045933591073,0.7436397559776845,0.00640943428593162,0.9690471693286522,0.021140070153720453
14,proposed,0.19343368001948155,0.014387751367931008,0.04275121481389127,0.0011793278113034053,0.34206685582212554,0.026043246983260708,0.71601118878628,0.010839308509144028,0.9690471693286522,0.021140070153720453
14,queue_aware,0.19075492048100184,0.01222353188657346,0.08200671292944088,0.0036276548035636866,0.2978507663151562,0.01749905010288301,0.7366954516974458,0.006005848040811991,0.9690471693286522,0.021140070153720453
14,reactive_prop,0.16415366830572473,0.00951659282550631,0.2648198944504472,0.009747565897782688,0.06482688538765677,0.01085501730105754,0.853123710347008,0.01691769238150519,0.9690471693286522,0.021140070153720453
