scenario,seed,method,params,interval_slots,telemetry_delay_slots,wall_s,realised_load,violation_ratio,weighted_violation_ratio,violation_ratio_ll,violation_ratio_embb,served_ratio,fh_utilisation,fh_allocated_fraction,fh_unused_allocation_fraction,offered_fh_load,mean_queueing_delay_ms,p99_queueing_delay_ms,mean_backlog_bits,jain_fairness_service_ratio,min_cell_service_ratio,residual_backlog_bits,decision_time_ms_mean,decision_time_ms_p95,num_decisions,slots_counted,controller_stats
high,3002,point_forecast,"{""margin"": 0.0}",4,2,13.678084008999576,0.757253067969093,0.06640949426933719,0.04411630963267545,0.0012027937465851827,0.08928966098111407,0.9330426315997983,0.7039670693156796,1.0,0.29603293068432035,0.7565027471115159,2.422274396034246,10.0,7652783.825989904,0.9969859300399199,0.8559074592676522,16363857.818822216,2.3918509270066353,2.5794003996452384,5000,19000,
high,3002,proposed,{},4,2,16.491832273,0.757253067969093,0.028408033181562476,0.01877819267936883,0.00024112316208680206,0.038291428474295536,0.9710945970850139,0.7333701421532807,1.0,0.2666298578467193,0.7565027471115159,2.075536360169244,10.0,6023119.647921133,0.9992942389685125,0.9214004990911473,14767940.44253491,2.9561242352010595,3.5334775499904936,5000,19000,"{""decisions"": 5000, ""scored_horizons"": 4998, ""delta_mean_abs"": 0.0}"
high,3002,oracle,{},4,2,1.6097009940003772,0.757253067969093,0.07008023761780544,0.04612086436214224,0.0,0.09467046388353789,0.9293516513296158,0.7013477154975957,1.0,0.29865228450240433,0.7565027471115159,2.2997728555276393,10.0,7434414.670067771,0.9966033004132753,0.8468636167099212,16394576.395239422,0.05609016640428308,0.06619199989472692,5000,19000,
high,3000,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",10,2,1.3332712249994074,0.788676893893951,0.044957232256785884,0.06613973658933588,0.11192661904361681,0.024804455986663386,0.9550007577683842,0.7541016407648437,1.0,0.2458983592351563,0.7918338817667788,2.492197103977098,10.0,7098278.196480422,0.9979390554696069,0.8797996197439181,6839447.30452325,0.03192220950813862,0.03488974984975357,2000,19000,
high,3000,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",10,2,1.3608841619998202,0.788676893893951,0.11382310939940499,0.09329386436300167,0.04891902961258321,0.13335438274263364,0.8856590927244538,0.7015732967747377,1.0,0.2984267032252623,0.7918338817667788,4.01036443020303,10.0,12457151.66013346,0.9971486832214589,0.8380505760643093,20493158.65797168,0.06448637449420858,0.07630315021742717,2000,19000,
high,3000,point_forecast,"{""margin"": 0.0}",10,2,6.860971768000127,0.788676893893951,0.08929572085119201,0.06824161089441412,0.022732258334567573,0.10932634427816362,0.9101468706278201,0.7213442078558863,1.0,0.27865579214411373,0.7918338817667788,3.6462296037280324,10.0,11294523.437764453,0.9973634772197191,0.8646477361579947,20999458.110930048,2.6575998270132004,6.369911250703807,2000,19000,
high,3000,proposed,{},10,2,8.408403589000045,0.788676893893951,0.05963572309139102,0.04401659405154995,0.010255183495078798,0.07449557196159297,0.9400206557381833,0.7451535148310378,1.0,0.25484648516896224,0.7918338817667788,3.722401430894377,10.0,11037342.01316481,0.9986404889267155,0.9000382898755178,14835217.496177759,3.492529118495895,4.009850949842075,2000,19000,"{""decisions"": 2000, ""scored_horizons"": 1998, ""delta_mean_abs"": 0.0}"
high,3000,oracle,{},10,2,1.4201307049997922,0.788676893893951,0.07471877312702384,0.0510999155847286,4.67522280381177e-05,0.09718946612597915,0.924754365948612,0.7331197739865857,1.0,0.2668802260134144,0.7918338817667788,3.183031174406714,10.0,9998463.790333726,0.9970532413645524,0.8797154916346139,19244526.145300712,0.06428372650179881,0.0787861496064579,2000,19000,
high,3001,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",10,2,1.3431575730000986,0.7839437332670249,0.053891119986043914,0.07660832127812806,0.12170081257141928,0.031058793111498593,0.9459964067209077,0.7397923135034651,1.0,0.26020768649653486,0.783958882962779,2.3698935052574424,10.0,6977037.9002817925,0.9976449570211106,0.8764830365730214,11116728.303180866,0.031951544006915356,0.0366366999969614,2000,19000,
high,3001,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",10,2,1.3878076979999605,0.7839437332670249,0.12561666611503589,0.09911135069187217,0.046499645157466685,0.15225630441702498,0.8746199036206808,0.6890254117420722,1.0,0.31097458825792773,0.783958882962779,3.7818235285071085,10.0,12291608.893063325,0.9965079959242743,0.8196113434070706,11965264.500721011,0.06578966099232275,0.07765054924675496,2000,19000,
