scenario,method,weighted_violation_ratio_mean,weighted_violation_ratio_std,violation_ratio_mean,violation_ratio_std,violation_ratio_ll_mean,violation_ratio_ll_std,violation_ratio_embb_mean,violation_ratio_embb_std,fh_utilisation_mean,fh_utilisation_std,fh_unused_allocation_fraction_mean,fh_unused_allocation_fraction_std,mean_queueing_delay_ms_mean,mean_queueing_delay_ms_std,p99_queueing_delay_ms_mean,p99_queueing_delay_ms_std,jain_fairness_service_ratio_mean,jain_fairness_service_ratio_std,min_cell_service_ratio_mean,min_cell_service_ratio_std,decision_time_ms_mean_mean,decision_time_ms_mean_std,realised_load_mean,realised_load_std
low,queue_aware,0.003916954756836291,0.0018208148706809087,0.002555140913463756,0.000933157546814257,0.0067019558196045464,0.003599628222840381,0.0012103063585855544,0.00025914705244948924,0.49895939565942565,0.020298201156752384,0.5010406043405744,0.02029820115675233,1.456983599968721,0.1884190784679471,8.1,0.6519202405202649,0.9999873548704883,1.3752920547625515e-05,0.9912336064469823,0.0042842585297159655,0.07850294839645358,0.0036578970697549854,0.4984874951961734,0.02013252628842363
low,point_forecast,0.001761904225040186,0.0009865959735832822,0.0012759303714537404,0.0005408441365550835,0.0027558594125736565,0.001939053691822039,0.0007960909630234808,0.0002851228086717721,0.4997026201044391,0.02046406037056032,0.5002973798955609,0.020464060370560293,1.3471750690103756,0.18061277985384042,7.3,0.9082951062292475,0.9999969431420956,2.8882691690013263e-06,0.9957281454050104,0.0019749611994106797,2.33182993000446,0.0844003859260281,0.4984874951961734,0.02013252628842363
low,proposed_window,0.0016989513102654047,0.0004238265413454395,0.0008874142579792556,0.0001958265143091312,0.0033861782551839895,0.0009489088105678887,9.391087937564947e-05,0.00015883763259954607,0.4998835349949604,0.020648027419899375,0.5001164650050395,0.020648027419899396,1.4074785881691256,0.16914975191353646,6.8,0.570087712549569,0.9999962999381161,1.6716087543578164e-06,0.9952724868073954,0.00045240597601527567,1.4658553279976332,0.058420532461090725,0.4984874951961734,0.02013252628842363
low,proposed,0.0008262747817075186,0.00037827449993313835,0.000457218799933342,0.00019736689443703635,0.0015882497232939843,0.000810458253968972,9.498602380103207e-05,0.00019838980951694487,0.5001584959901383,0.02069409802114364,0.4998415040098617,0.02069409802114366,1.2199566844289487,0.1405024998931824,6.1,0.5477225575051662,0.9999988725603707,1.0880999492812591e-06,0.9975216032960326,0.0007086987739576926,2.581574190198262,0.0962547729754178,0.4984874951961734,0.02013252628842363
low,proposed_cal,0.0009056610750444415,0.00021113884347696211,0.0004883634494945534,0.00013289864405038125,0.0017698448191928264,0.00045321293942987686,7.934717425748615e-05,0.00016317573085021303,0.5001452557334773,0.020720838253278695,0.49985474426652254,0.020720838253278723,1.1831956878729,0.15449318840577225,5.9,0.5477225575051661,0.9999988094926227,5.421547478075387e-07,0.9974753056964307,0.0008358550954866887,2.5672522720044073,0.07229117105954086,0.4984874951961734,0.02013252628842363
low,oracle,9.120971005418959e-05,8.804204975894933e-05,0.00013649921722788373,0.00013443510888202703,0.0,0.0,0.00018172369506714718,0.000182481753151933,0.5003866529867572,0.020778734995787692,0.4996133470132428,0.020778734995787678,0.9065033707598464,0.13979660037285896,4.9,0.6519202405202649,0.9999997555705573,2.658805983455977e-07,0.9989091822675384,0.0008417144525208793,0.07640501959795074,0.0030984057522821973,0.4984874951961734,0.02013252628842363
moderate,static_equal,0.09383645021029151,0.017702702200471227,0.11620214957722788,0.020963153680070144,0.04697283857993164,0.016719009252185914,0.13796648847424048,0.02437563875263566,0.576136501831396,0.014591321703952949,0.423863498168604,0.014591321703952914,2.8565996656233787,0.20687592758587392,10.0,0.0,0.9963446478657347,0.0015360122098742534,0.8067692150679926,0.03924569510846932,0.017119850804374438,0.0011835469978561661,0.6480337437550255,0.026172284174950784
moderate,reactive_prop,0.038141821009794186,0.0070792147626679135,0.02131004129628063,0.003811843204938436,0.07288522546388457,0.014228984317799453,0.0047774229905338085,0.0032264998076830067,0.634707419042656,0.024317060540425633,0.365292580957344,0.02431706054042564,1.930086506485076,0.17337130131874146,9.7,0.273861278752583,0.9987609432710707,0.000555197594371624,0.9196453877643413,0.014099964958332344,0.032633459007411145,0.0009777295834395051,0.6480337437550255,0.026172284174950784
moderate,queue_aware,0.040738094908952874,0.009484395637681598,0.04555638834446585,0.011932052812323133,0.030580267757262258,0.005196633858733845,0.05022760807052815,0.014294190555677924,0.6204082888077259,0.01992129357871134,0.3795917111922741,0.019921293578711363,3.1250239076969257,0.30108780645120653,10.0,0.0,0.99974801675785,8.864421363567633e-05,0.9317263631153484,0.012828058516963574,0.07900753840076505,0.0020981802241726395,0.6480337437550255,0.026172284174950784
moderate,point_forecast,0.031070106379656202,0.008690319277035815,0.03818910743776312,0.01143116028378519,0.01614024977129644,0.004386847937283805,0.045114128403973164,0.014042664069787943,0.6254056432953925,0.020543234680523343,0.3745943567046075,0.02054323468052337,2.9105142634469683,0.33304265949027556,10.0,0.0,0.9996594276911314,0.00015542406358834857,0.9394826874445454,0.013152999536329034,2.342334687401126,0.047771618859795466,0.6480337437550255,0.026172284174950784
moderate,proposed_window,0.024065954069549415,0.005632444922811709,0.026535323706222146,0.007228159657145272,0.018906100218356384,0.00285536146116327,0.02894311116959636,0.008802469232948635,0.6325780958563028,0.022930194293092964,0.36742190414369724,0.022930194293092922,3.084765090860303,0.33532719114722453,10.0,0.0,0.9999035515559083,5.654442396872596e-05,0.9603298271146736,0.009797867515823618,2.0857533095950203,0.06102026136969879,0.6480337437550255,0.026172284174950784
moderate,proposed,0.019986988377385335,0.00593195569201858,0.023246933280737004,0.0073176492990525074,0.013142030315968658,0.003558763537856658,0.026415565486120247,0.008666801620302941,0.634723573155491,0.02287797245126943,0.36527642684450906,0.022877972451269393,2.7831910209999116,0.32841054134233366,10.0,0.0,0.9998898119103045,6.754962627451967e-05,0.9625820117620897,0.009689520652136852,3.2980835195987313,0.09686989860060115,0.6480337437550255,0.026172284174950784
moderate,proposed_cal,0.020181112203992834,0.006073255388641845,0.02359534759724788,0.007615855989005145,0.013055835654475528,0.0030122041344000866,0.02692574325581983,0.009128734740273859,0.6344989357207675,0.02269151091410635,0.36550106427923235,0.022691510914106334,2.7839629663269663,0.34293160900565606,10.0,0.0,0.9998869583886535,6.214525654294095e-05,0.9626774706863225,0.009213488727716584,3.303395981203539,0.08931008810713874,0.6480337437550255,0.026172284174950784
moderate,oracle,0.015609854338084423,0.005955557496512239,0.023089189791827922,0.008593862409200412,2.5349101561647544e-05,2.8758775171610893e-05,0.030393596422910663,0.011078444932561675,0.6354443570855507,0.022589213277657366,0.3645556429144493,0.022589213277657373,2.197982578267033,0.3283412266703843,10.0,0.0,0.9996863144207129,0.00015362899707461713,0.9551715020916433,0.012948810209769051,0.07717740200059779,0.0033876041980267966,0.6480337437550255,0.026172284174950784
overload_bursts,static_equal,0.19300101585562254,0.020717610818372194,0.2219072929358154,0.032015712870922,0.12632902026926313,0.037497077012294024,0.24841511041147707,0.04595646630529833,0.6814522319194717,0.018888555018558705,0.3185477680805283,0.0188885550185587,3.6640525263310932,0.36605462694697943,10.0,0.0,0.9892268402987575,0.00474584939798889,0.6714554915125228,0.04951519627908088,0.017012525196878413,0.0006825772416739283,0.8710254018616645,0.05772928747489779
overload_bursts,reactive_prop,0.1224632306512917,0.01653777642063951,0.09696669338669206,0.020861467443581375,0.1759783015090564,0.017548978499717108,0.07177878605791624,0.02936151094877297,0.7870691506486069,0.03226925203733641,0.21293084935139314,0.03226925203733641,3.5003020616484664,0.4169237778482069,10.0,0.0,0.9957138102235594,0.0010740053572571371,0.8120665503982487,0.020048294243279606,0.03437034740927629,0.0024974772068164243,0.8710254018616645,0.05772928747489779
overload_bursts,queue_aware,0.14698003110798696,0.026724065988667025,0.1861581582776799,0.03366350757024322,0.060906686389198716,0.005144183188387445,0.2235751242476905,0.03735584694506814,0.7138947919425295,0.015928712788588442,0.28610520805747053,0.015928712788588463,4.806153006007654,0.40317390827878363,10.0,0.0,0.9898341207800222,0.004652131896634011,0.7276501679375564,0.043365300916610776,0.0832436567879995,0.003979812435664215,0.8710254018616645,0.05772928747489779
overload_bursts,point_forecast,0.1344324358153399,0.026510159625644843,0.17792271907652374,0.03442683237546117,0.03872146764566297,0.008795620810428513,0.21939701901772057,0.03883563609650871,0.7215121324168684,0.01565929061077397,0.2784878675831316,0.015659290610773997,4.723097409278391,0.42998717835582817,10.0,0.0,0.9878980068327021,0.0056119003614477645,0.73014129188171,0.04631204306943006,2.411589010200623,0.16828299114937556,0.8710254018616645,0.05772928747489779
overload_bursts,proposed_window,0.12671741451972476,0.02591205610661969,0.16542822107826088,0.03300665394576343,0.041832084431202086,0.005915873172964698,0.20247124196379196,0.0371648224062193,0.7321652141102131,0.018028205053054178,0.267834785889787,0.018028205053054153,4.8309193049691945,0.3276201996037846,10.0,0.0,0.9905808959812106,0.004417014556221576,0.7501421409108977,0.04010553561547908,2.296379683401392,0.11692001919340304,0.8710254018616645,0.05772928747489779
overload_bursts,proposed,0.11823955267255822,0.025600456902295118,0.15216099923631624,0.03263330633098265,0.04348285094856581,0.008326656910866367,0.18448023665099414,0.03707277756016138,0.7432019368712776,0.01851910482945724,0.25679806312872244,0.018519104829457234,4.659589145262468,0.3614399483500672,10.0,0.0,0.9925554867931641,0.003714828649350473,0.7675622542581267,0.045813057344282336,3.4973724966066584,0.11738867352051481,0.8710254018616645,0.05772928747489779
overload_bursts,proposed_cal,0.12240573774447672,0.026212515429668008,0.16311734917163065,0.032137230125457605,0.033679231470570496,0.004795868697233901,0.20226685755724122,0.03534014545531382,0.7343167367053562,0.01997890229025389,0.2656832632946438,0.01997890229025388,4.764154015774166,0.34063709786097124,10.0,0.0,0.9899096469673593,0.0041174913419574554,0.749278540654962,0.03456107037345618,3.5811378927966873,0.1372171557491358,0.8710254018616645,0.05772928747489779
overload_bursts,oracle,0.10206303286284577,0.025736370103323906,0.14760295533764048,0.03179307110440415,0.0026345333019455576,0.0023883805264170847,0.1913031416911608,0.034251113497324195,0.7484469544321046,0.019847574177677615,0.25155304556789543,0.01984757417767758,4.238728128570859,0.45246607974578146,10.0,0.0,0.9880856124474968,0.004600098958516856,0.7572442648598815,0.04106480335308221,0.082258994397489,0.003407941904540333,0.8710254018616645,0.05772928747489779
shift,static_equal,0.2365232011023446,0.04176142182945645,0.25212818577879104,0.0544565101272981,0.2002767392355122,0.027712863318822077,0.2663260198919193,0.06726418569583514,0.5539554817966883,0.028582507067245227,0.44604451820331165,0.028582507067245213,2.371537246695207,0.3844053062865054,10.0,0.0,0.9923440896780986,0.005223169258290866,0.6688987396373111,0.09546990306844928,0.017097101594481502,0.0015506371398846378,0.736014666411551,0.07882097124462015
shift,reactive_prop,0.12915088685862303,0.03470658208498865,0.11651126293810692,0.03927100471680991,0.15455021660711407,0.02822817341881395,0.10377107040293158,0.044799259315308475,0.6508528843977714,0.048089154103265544,0.3491471156022286,0.04808915410326552,2.9071444022833983,0.6544190949464065,10.0,0.0,0.997761761684767,0.0008152213877805495,0.8198288892270853,0.044616080741481254,0.03238343880020693,0.0015984382387318511,0.736014666411551,0.07882097124462015
shift,queue_aware,0.14211412842049848,0.04436942558783994,0.15421622311663713,0.05395542501851793,0.11478603326212866,0.02153104411728794,0.1655214575065334,0.06225149677302216,0.6249084529867919,0.034812802070792834,0.3750915470132082,0.034812802070792834,3.270227762758297,0.6598499077636714,10.0,0.0,0.9971980247126387,0.0023118148638339065,0.7866583454701339,0.07714659967285233,0.0791093958016063,0.0029168568137628303,0.736014666411551,0.07882097124462015
shift,point_forecast,0.1293087435066655,0.044482486676818984,0.1490279332302426,0.05575819141430406,0.08564056978713977,0.016957395261507618,0.16769775691193312,0.06516317158191327,0.629552978010012,0.034408975364641235,0.37044702198998797,0.03440897536464126,3.2245081114380953,0.6596523650160698,10.0,0.0,0.9958214515186647,0.00354321177065138,0.7834649094963717,0.08124818946910395,2.268445857597726,0.05681258032494167,0.736014666411551,0.07882097124462015
shift,proposed_window,0.1180161461566327,0.04557232136140148,0.1407453481209125,0.05596908828340606,0.06851024972202031,0.0174927088277275,0.16252656271059895,0.06431872167139549,0.6354511962676499,0.034331644301288,0.36454880373235005,0.034331644301287996,3.821476200976247,0.6004796607535046,10.0,0.0,0.9958563242998046,0.0035137900267869443,0.790782453757758,0.07946428848973074,2.228238094612607,0.03015300479686078,0.736014666411551,0.07882097124462015
shift,proposed,0.11592987982569254,0.04268262068158819,0.1341160525000651,0.05176435755741665,0.07604828746766779,0.0190455735961579,0.15146540180072893,0.059119193768487475,0.6402103437482023,0.037912674953996466,0.3597896562517978,0.03791267495399646,3.4319430551161916,0.6713519155003804,10.0,0.0,0.9968101147891323,0.0025940919467064235,0.8042945293105304,0.07041135373058781,3.3564649772026316,0.07028580789403129,0.736014666411551,0.07882097124462015
shift,proposed_cal,0.12947391365035124,0.05165660782297133,0.16429570108040406,0.06647179280408406,0.053590196683675095,0.01247700850167897,0.19765070310739472,0.07808969320600362,0.61890721183045,0.026301901414367085,0.38109278816954995,0.02630190141436713,3.713533184384557,0.6763017150400332,10.0,0.0,0.9910418731628365,0.008139184407917213,0.7540472238928217,0.0981879557956302,3.4447368262031888,0.04908618878287099,0.736014666411551,0.07882097124462015
shift,oracle,0.08234928640508872,0.04144336079277299,0.1133188246737626,0.054329676632549076,0.014894485390648863,0.007242337411518438,0.14297983106358508,0.06448457246788508,0.6572616155496037,0.03900011262917277,0.3427383844503963,0.03900011262917281,2.781696914447436,0.6793775688065538,10.0,0.0,0.993615935856185,0.0052481790390842475,0.8061430455921735,0.08274213586273735,0.07694105080463487,0.0014615008399012043,0.736014666411551,0.07882097124462015
