scenario,seed,method,params,interval_slots,telemetry_delay_slots,wall_s,realised_load,violation_ratio,weighted_violation_ratio,violation_ratio_ll,violation_ratio_embb,served_ratio,fh_utilisation,fh_allocated_fraction,fh_unused_allocation_fraction,offered_fh_load,mean_queueing_delay_ms,p99_queueing_delay_ms,mean_backlog_bits,jain_fairness_service_ratio,min_cell_service_ratio,residual_backlog_bits,decision_time_ms_mean,decision_time_ms_p95,num_decisions,slots_counted,controller_stats
moderate,2002,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 60}",20,2,1.237749373999577,0.6393961911166064,0.02331513448917032,0.04082616845471644,0.07274954570455318,0.004633054144228372,0.9766077818414743,0.6234368909320903,1.0,0.37656310906790963,0.6388573020527858,2.034660363159422,10.0,4465206.330757636,0.9988314922324142,0.9155722388742327,8607027.955814479,0.0348146749956868,0.03959800051234196,1000,19000,
moderate,2003,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 60}",20,2,1.2328571909993116,0.6571917781018464,0.03771246562607938,0.05159455716584011,0.08298477514231907,0.02485979438612628,0.9625289348551286,0.6341694082847503,1.0,0.3658305917152496,0.6579528422850036,2.5832923031415507,10.0,6410279.762026215,0.9987483374539519,0.9113914691073806,211545.8889782593,0.03492475100847514,0.04171134955868183,1000,19000,
high,2000,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 60}",20,2,1.2544871179998154,0.7940166564426582,0.06423044989783701,0.09113677075003389,0.15117264547189577,0.039121408431753636,0.9361146582552171,0.7369767227923193,1.0,0.26302327720768076,0.7884536025841227,3.393547565727921,10.0,9497046.028313845,0.9962715455221086,0.8405739258186126,7746373.898870922,0.03560411700163968,0.03951745002268581,1000,19000,
high,2001,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 60}",20,2,1.2454699800000526,0.8083775247891877,0.06921525793396482,0.09206679931247647,0.1462304550114268,0.04862561057085081,0.9309104724692532,0.7529478742731633,1.0,0.2470521257268367,0.8136073064543927,3.6105231683872114,10.0,10712014.08323471,0.9961235116760607,0.8397473858772014,6887522.703565568,0.03544270399106608,0.04034834992125979,1000,19000,
high,2002,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 60}",20,2,1.2691308849998677,0.7869491582973615,0.06427676621739142,0.09373977678704251,0.1474521277071251,0.03284342357474131,0.9357481983002702,0.7341769509976386,1.0,0.2658230490023614,0.7862859102188133,2.982104113032936,10.0,8292240.723420993,0.9962178671532124,0.8445151160722385,12281437.714377623,0.03616936001890281,0.042178350167887395,1000,19000,
high,2003,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 60}",20,2,1.2593791310000597,0.8088514192022725,0.08574596841762445,0.11055288142380433,0.16664633134503706,0.06277860096918579,0.9147875664250004,0.7427973783738729,1.0,0.25720262162612706,0.8097881135815428,3.3660881315095126,10.0,10570798.124722548,0.9950802641389523,0.8280792729228976,1360960.2623491117,0.03698147099385096,0.0401731494548585,1000,19000,
moderate,2000,reactive_prop,"{""margin"": 0.25, ""ewma_window"": 20}",20,2,1.255106016999889,0.64513853335966,0.02199893218264128,0.03868864846242657,0.0759282889625435,0.006424049967108723,0.9779499630148536,0.6265516591060654,1.0,0.3734483408939346,0.6406185520995997,1.9371387304027032,10.0,4304545.278927336,0.998704209417996,0.9180377634048424,5633561.240432074,0.03220107198740152,0.03679579972413194,1000,19000,
moderate,2001,reactive_prop,"{""margin"": 0.25, ""ewma_window"": 20}",20,2,1.2404760850004095,0.656806738891215,0.02414680778939233,0.03844837903476461,0.0723465466925824,0.011260836388024808,0.9760060389178697,0.6439504824992295,1.0,0.3560495175007706,0.661055936494194,2.255495752922218,10.0,5305772.1629598895,0.9988700607128388,0.9185017003790361,3617357.778455127,0.03213464598866267,0.03889159984282742,1000,19000,
moderate,2002,reactive_prop,"{""margin"": 0.25, ""ewma_window"": 20}",20,2,1.2358729119996497,0.6393961911166064,0.025075006793415643,0.042882733910977355,0.07534699569326787,0.006076392009978792,0.974831779485738,0.6223593522116526,1.0,0.37764064778834744,0.6388573020527858,1.8881165841204512,10.0,4173748.397761828,0.9987777552262234,0.9204849752031394,8717041.395362712,0.032284019001963316,0.03823799952442641,1000,19000,
moderate,2003,reactive_prop,"{""margin"": 0.25, ""ewma_window"": 20}",20,2,1.2393745099998341,0.6571917781018464,0.04076424896734224,0.05459597299663467,0.0858722998402102,0.02795821025760763,0.959377621460169,0.6323424263445258,1.0,0.36765757365547425,0.6579528422850036,2.4299916679378524,10.0,6103967.615776759,0.9986514592737512,0.9099226915870393,264443.2177816569,0.032670345000951784,0.03857210044770909,1000,19000,
high,2000,reactive_prop,"{""margin"": 0.25, ""ewma_window"": 20}",20,2,1.2494615679997878,0.7940166564426582,0.0657429991613053,0.08680353044564172,0.13379573813943488,0.04608926217433365,0.9346651592304501,0.7367766634844936,1.0,0.26322333651550645,0.7884536025841227,3.2679293272988787,10.0,9292098.644798134,0.9976405593513366,0.8628627258997781,8084780.179023414,0.0327202869921166,0.036627000099542784,1000,19000,
high,2001,reactive_prop,"{""margin"": 0.25, ""ewma_window"": 20}",20,2,1.2462617310002315,0.8083775247891877,0.07095915786905742,0.08746203698541455,0.1265778343705441,0.0560897687169799,0.9291457854133124,0.7523766143875049,1.0,0.24762338561249506,0.8136073064543927,3.462211065753411,10.0,10448667.100328084,0.9971859060550162,0.8602938854911312,7134891.67034775,0.03246512999157858,0.03547459959918342,1000,19000,
high,2002,reactive_prop,"{""margin"": 0.25, ""ewma_window"": 20}",20,2,1.2558339369998066,0.7869491582973615,0.06337491433093491,0.08723460504772948,0.1307318599394343,0.037919612270893494,0.9366029332800279,0.7352967274011586,1.0,0.26470327259884147,0.7862859102188133,2.8368419964254485,10.0,8010991.834215043,0.9974505003616363,0.8582064479673264,12141647.745785922,0.032926415005022136,0.037097950189490796,1000,19000,
high,2003,reactive_prop,"{""margin"": 0.25, ""ewma_window"": 20}",20,2,1.2637105049998354,0.8088514192022725,0.08780566214768327,0.10627076496418357,0.1480240987977703,0.0707098307859128,0.9127213719021875,0.742334719172134,1.0,0.25766528082786605,0.8097881135815428,3.2239745319683197,10.0,10329377.790383786,0.9964329877911204,0.8455654919382772,1753895.1497643865,0.03287183002248639,0.036986249551773646,1000,19000,
moderate,2000,reactive_prop,"{""margin"": 0.25, ""ewma_window"": 60}",20,2,1.2367949830004363,0.64513853335966,0.02330873581289611,0.04065753483159189,0.0793677817725497,0.007118796045950606,0.976696404397054,0.6257752825638212,1.0,0.37422471743617874,0.6406185520995997,2.146440320940475,10.0,4758299.398005007,0.9985893380921905,0.9144979544151218,5325527.497300381,0.0349578140048834,0.03960950002692697,1000,19000,
moderate,2001,reactive_prop,"{""margin"": 0.25, ""ewma_window"": 60}",20,2,1.232316413999797,0.656806738891215,0.025241977764711637,0.040172668451664326,0.07556200067745823,0.011789158497948031,0.9749148374666863,0.6430750025035744,1.0,0.3569249974964256,0.661055936494194,2.4132534802556043,10.0,5664538.912800698,0.9987867025444633,0.9169919426997876,3586771.845486314,0.035120120006467914,0.03887040002155118,1000,19000,
moderate,2002,reactive_prop,"{""margin"": 0.25, ""ewma_window"": 60}",20,2,1.2435118319999674,0.6393961911166064,0.026644537824986245,0.044349333988880385,0.07662594816160768,0.00775573747913101,0.9732579191752472,0.6213244775205619,1.0,0.37867552247943814,0.6388573020527858,2.0489930127626885,10.0,4534602.662932742,0.9987857883860387,0.9178961010795093,8917431.03805916,0.0350857789744623,0.04030565073662728,1000,19000,
moderate,2003,reactive_prop,"{""margin"": 0.25, ""ewma_window"": 60}",20,2,1.249406375000035,0.6571917781018464,0.04216319214290874,0.0569951676451742,0.09053326546742305,0.028431075161569366,0.9581076487420758,0.6313558610953475,1.0,0.36864413890465253,0.6579528422850036,2.5336157575952623,10.0,6343963.255212087,0.9985105254093823,0.9057565319179554,238375.655113172,0.03580742999292852,0.041627400014476734,1000,19000,
high,2000,reactive_prop,"{""margin"": 0.25, ""ewma_window"": 60}",20,2,1.2468711830006214,0.7940166564426582,0.07380073454834209,0.09635674447027785,0.14668580258778116,0.05275141340367767,0.92663519643691,0.7301287638412162,1.0,0.2698712361587839,0.7884536025841227,3.4219572304642525,10.0,9757348.423295166,0.997329342562282,0.8480457050058556,7690752.391465448,0.036042856005224166,0.04077909993611683,1000,19000,
high,2001,reactive_prop,"{""margin"": 0.25, ""ewma_window"": 60}",20,2,1.245753668999896,0.8083775247891877,0.07795839999108542,0.0961620820201113,0.1393091918601718,0.061556557004671046,0.9221574408103185,0.7464248205765392,1.0,0.2535751794234608,0.8136073064543927,3.569363622270732,10.0,10795354.798309484,0.9968188342942426,0.8503971060822314,7426203.01529818,0.035913221000555495,0.03880160033986612,1000,19000,
high,2002,reactive_prop,"{""margin"": 0.25, ""ewma_window"": 60}",20,2,1.2585427639996851,0.7869491582973615,0.07065139768582905,0.096075818432809,0.14242564428897186,0.04352672463378436,0.9294154916163918,0.7296634877555361,1.0,0.27033651224446387,0.7862859102188133,2.9590029373045463,10.0,8382961.725703093,0.9970404287012896,0.8458753084148486,12347702.369904859,0.03613422099988384,0.04035814999951979,1000,19000,
high,2003,reactive_prop,"{""margin"": 0.25, ""ewma_window"": 60}",20,2,1.2646637240004566,0.8088514192022725,0.09326271697681864,0.11403576203480704,0.1610078202825021,0.07403008779998647,0.9072672704061603,0.7377795769075661,1.0,0.26222042309243393,0.8097881135815428,3.33023599391804,10.0,10650104.807061203,0.9958317258316199,0.8344591159220192,2255608.8451490854,0.03761658700841508,0.04279169993424148,1000,19000,
moderate,2000,reactive_prop,"{""margin"": 0.5, ""ewma_window"": 20}",20,2,1.2371830140000384,0.64513853335966,0.024559712485777648,0.04134663909951352,0.07880318429881944,0.008894113359542011,0.9753822733805932,0.6250412613174193,1.0,0.3749587386825806,0.6406185520995997,2.065743371307926,10.0,4611330.907970668,0.9986690857730354,0.9190573901181412,5659827.177331921,0.032678064997526235,0.036414399664863595,1000,19000,
moderate,2001,reactive_prop,"{""margin"": 0.5, ""ewma_window"": 20}",20,2,1.2316334970000753,0.656806738891215,0.02736282002388296,0.040831988047105465,0.0727571596264349,0.015226858808878653,0.9727912112373458,0.6418210299388374,1.0,0.3581789700611626,0.661055936494194,2.3086736148967186,10.0,5479397.623837501,0.9988977797122507,0.9211828859647764,3774028.851573263,0.03227897900796961,0.03601674934543553,1000,19000,
moderate,2002,reactive_prop,"{""margin"": 0.5, ""ewma_window"": 20}",20,2,1.2343153530000563,0.6393961911166064,0.027919762251446795,0.04518720264015874,0.07666649819475038,0.009497565747909172,0.9719673100125833,0.6205506149511002,1.0,0.3794493850488998,0.6388573020527858,1.974937643292378,10.0,4400381.060414861,0.9988121106580616,0.9166560753004651,8860837.581027336,0.03230527499545133,0.0354440003320633,1000,19000,
moderate,2003,reactive_prop,"{""margin"": 0.5, ""ewma_window"": 20}",20,2,1.2403347910003504,0.6571917781018464,0.04485091312698126,0.058193748605334404,0.0883645995099108,0.03249750965597871,0.9553905733371078,0.6300606799591949,1.0,0.36993932004080515,0.6579528422850036,2.4557055983756344,10.0,6223493.0662388755,0.9985860162233381,0.9081026201012431,219031.1652326553,0.032904429999689455,0.03838955053652171,1000,19000,
high,2000,reactive_prop,"{""margin"": 0.5, ""ewma_window"": 20}",20,2,1.238221641000564,0.7940166564426582,0.0740922843141692,0.09040761828571128,0.1268119023103278,0.05886677654315782,0.9263250612994829,0.7307127847115366,1.0,0.2692872152884635,0.7884536025841227,3.3305382433915125,10.0,9631004.946903503,0.9985161921293169,0.8667489548168245,8192242.671198379,0.03299478101052955,0.03562395027074672,1000,19000,
high,2001,reactive_prop,"{""margin"": 0.5, ""ewma_window"": 20}",20,2,1.2385336520001147,0.8083775247891877,0.07956518974193456,0.09135068098999549,0.11928513318424566,0.0689462514051612,0.9205432249215871,0.746037771679044,1.0,0.25396222832095605,0.8136073064543927,3.490189611135129,10.0,10714252.74398829,0.9975598200448106,0.8597505031140737,7278364.553745808,0.03296207700350351,0.0354017998688505,1000,19000,
high,2002,reactive_prop,"{""margin"": 0.5, ""ewma_window"": 20}",20,2,1.2487939739994545,0.7869491582973615,0.06900499205284866,0.08912931414581468,0.12581682941961322,0.04753486053645672,0.9309516118710028,0.7312129329810998,1.0,0.26878706701890015,0.7862859102188133,2.856576093249385,10.0,8196470.959162522,0.9980936224854,0.8633406105652797,12150394.035294035,0.0329865180183333,0.03515540020089247,1000,19000,
high,2003,reactive_prop,"{""margin"": 0.5, ""ewma_window"": 20}",20,2,1.236466276000101,0.8088514192022725,0.09468281800104555,0.1091100335445851,0.14173288719803084,0.08132544618441719,0.9058780143214783,0.7378492036625517,1.0,0.2621507963374483,0.8097881135815428,3.2447037461561647,10.0,10551030.636456134,0.9969577635837685,0.8516517240667628,2544329.0524902754,0.03437857398603228,0.03544894984770508,1000,19000,
moderate,2000,reactive_prop,"{""margin"": 0.5, ""ewma_window"": 60}",20,2,1.2409962960000485,0.64513853335966,0.026894760512185575,0.0440256930054452,0.08224981597950975,0.010908134295661868,0.9731045144671038,0.6236478441219782,1.0,0.3763521558780219,0.6406185520995997,2.2719907509846,10.0,5074238.174049493,0.9986035142270017,0.9131500379821731,5273158.662243172,0.03613649300677935,0.0401680499635404,1000,19000,
moderate,2001,reactive_prop,"{""margin"": 0.5, ""ewma_window"": 60}",20,2,1.2360063599999194,0.656806738891215,0.02908357774532963,0.04299796035955164,0.07597839772684767,0.01654647022348525,0.971070291630984,0.640493534696386,1.0,0.35950646530361396,0.661055936494194,2.4688102283877096,10.0,5852915.337098449,0.9988195901908387,0.9198843888426772,3683286.7877151016,0.036052732006282895,0.041285399538537604,1000,19000,
moderate,2002,reactive_prop,"{""margin"": 0.5, ""ewma_window"": 60}",20,2,1.2460367989997394,0.6393961911166064,0.02983164380087324,0.04660824384156895,0.07719271607333487,0.011933112481026147,0.9700543051358541,0.619315342815494,1.0,0.38068465718450595,0.6388573020527858,2.1214715283242724,10.0,4739241.69871897,0.9988706504943609,0.9168631332009946,9076670.078912647,0.03626094300670957,0.04205754953545693,1000,19000,
moderate,2003,reactive_prop,"{""margin"": 0.5, ""ewma_window"": 60}",20,2,1.2530492160003632,0.6571917781018464,0.04707941240116707,0.061055978457408504,0.09265982243232278,0.03413927236032022,0.9532306937417295,0.6286262453130746,1.0,0.37137375468692535,0.6579528422850036,2.532579916916568,10.0,6418824.925463016,0.9984570566260745,0.9053539851673892,207791.1032444054,0.03665703698879952,0.04025905036542098,1000,19000,
