scenario,baseline,n_seeds,baseline_mean,reference_mean,diff_mean,diff_std,rel_reduction_pct,reference_wins,min_diff,max_diff
high,static_equal,5,0.15268132484409175,0.07888376205590202,0.07379756278818972,0.008542931144999133,48.33437413747031,5,0.061373862212009106,0.08466036729949081
high,reactive_prop,5,0.08940535897139257,0.07888376205590202,0.010521596915490542,0.0075258237747536936,11.768418623381608,5,0.0009336986855316004,0.021128371480824498
high,queue_aware,5,0.10856705122987731,0.07888376205590202,0.02968328917397528,0.0019582569891467795,27.340973930593904,5,0.0272792808210595,0.03183876353481749
high,point_forecast,5,0.096268425348106,0.07888376205590202,0.01738466329220398,0.0019183136355034028,18.05853085198096,5,0.015443922262592197,0.019567749673445795
high,proposed_window,5,0.08596464212773816,0.07888376205590202,0.007080880071836143,0.0011155468601973706,8.236968009841059,5,0.005948940590114998,0.008528610168944406
high,proposed_cal,5,0.0812046220692875,0.07888376205590202,0.002320860013385484,0.001679990904566497,2.858039301513182,5,0.00048346957905100185,0.004390338838183003
high,oracle,5,0.0689980017660051,0.07888376205590202,-0.009885760289896921,0.0017638421331701468,-14.32760375209529,0,-0.012090135695991905,-0.007645089774254099
low,static_equal,5,0.04156516210116602,0.0008262747817074599,0.04073888731945856,0.011311792778908572,98.01209777626663,5,0.0245121977840991,0.0540912928884132
low,reactive_prop,5,0.00746839079039074,0.0008262747817074599,0.00664211600868328,0.003005720438892914,88.9363745832557,5,0.0036166009858138,0.0113764434176729
low,queue_aware,5,0.00391695475683624,0.0008262747817074599,0.0030906799751287796,0.00145168180837667,78.90517422328232,5,0.0018166522105154,0.0055735579392739
low,point_forecast,5,0.0017619042250401399,0.0008262747817074599,0.0009356294433326799,0.0006588759702064493,53.10330891063981,5,0.000151592602539,0.0018800573345864
low,proposed_window,5,0.0016989513102653397,0.0008262747817074599,0.0008726765285578802,0.00022564720036569034,51.36559966639578,5,0.0006757993015831,0.0012502273570585
low,proposed_cal,5,0.0009056610750443998,0.0008262747817074599,7.938629333694e-05,0.00022685312421946756,8.765563136634542,4,-0.0002982011930011,0.0002712798008235
low,oracle,5,9.120971005418201e-05,0.0008262747817074599,-0.000735065071653278,0.00042879276326515464,-805.9065983398275,0,-0.0014755008852421,-0.00046112619655419996
moderate,static_equal,5,0.0938364502102915,0.0199869883773853,0.07384946183290618,0.012505545188996638,78.70018704608538,5,0.0578413242981669,0.0929569083796759
moderate,reactive_prop,5,0.038141821009794165,0.0199869883773853,0.018154832632408864,0.0034039313832969044,47.5982324696742,5,0.013678262548854101,0.022419829125282703
moderate,queue_aware,5,0.04073809490895282,0.0199869883773853,0.02075110653156752,0.0035581057056709923,50.937842277467794,5,0.0167774158833593,0.024998633385065798
moderate,point_forecast,5,0.03107010637965616,0.0199869883773853,0.011083118002270858,0.0027728706889657054,35.671322997232394,5,0.008141207119274298,0.0144976987068232
moderate,proposed_window,5,0.02406595406954936,0.0199869883773853,0.004078965692164059,0.000523005796907888,16.949112760608035,5,0.0035564710197398992,0.0047104039210075
moderate,proposed_cal,5,0.020181112203992803,0.0199869883773853,0.00019412382660750037,0.00031443671192774237,0.9619084649313493,4,-9.324948263990038e-05,0.000697617825274801
moderate,oracle,5,0.015609854338084381,0.0199869883773853,-0.00437713403930092,0.0012484210380930086,-28.04083846331442,0,-0.006051494309851999,-0.002583251359577401
overload_bursts,static_equal,5,0.19300101585562252,0.11823955267255819,0.07476146318306434,0.011651899857483234,38.7363055327081,5,0.057828480995766096,0.0900000010497684
overload_bursts,reactive_prop,5,0.12246323065129168,0.11823955267255819,0.004223677978733501,0.00926933823858841,3.4489356162424185,3,-0.006985028189470305,0.014129886478368409
overload_bursts,queue_aware,5,0.1469800311079869,0.11823955267255819,0.02874047843542874,0.0041390528719890424,19.55400214489884,5,0.022404355210582302,0.0328408931251922
overload_bursts,point_forecast,5,0.13443243581533984,0.11823955267255819,0.016192883142781656,0.0026345766848871075,12.04536914366757,5,0.012121997579628008,0.018622987677341704
overload_bursts,proposed_window,5,0.1267174145197247,0.11823955267255819,0.00847786184716654,0.0015521400856228496,6.690368391194475,5,0.006491938391513394,0.0105271208917051
overload_bursts,proposed_cal,5,0.12240573774447665,0.11823955267255819,0.004166185071918485,0.003049111931986317,3.4035864238778113,5,0.0015978633728254005,0.007702965686749802
overload_bursts,oracle,5,0.10206303286284575,0.11823955267255819,-0.016176519809712436,0.0038127525633253456,-15.849538619385093,0,-0.0219359333748102,-0.011979250812826789
shift,static_equal,5,0.2365232011023445,0.1159298798256925,0.12059332127665204,0.014111465626174494,50.98583171317339,5,0.09889712412184089,0.1379891435993697
shift,reactive_prop,5,0.129150886858623,0.1159298798256925,0.013221007032930507,0.009070531993919455,10.236868948025952,5,0.0007167606291272055,0.026150771421423497
shift,queue_aware,5,0.14211412842049845,0.1159298798256925,0.026184248594805965,0.002801670649959404,18.424803280170675,5,0.023268659171596706,0.02962305867384432
shift,point_forecast,5,0.12930874350666544,0.1159298798256925,0.01337886368097294,0.00271638613497719,10.346449372376204,5,0.010739973658738203,0.017199580096203704
shift,proposed_window,5,0.11801614615663267,0.1159298798256925,0.002086266330940162,0.0033498099686481587,1.7677804257150036,4,-0.0010277018167968027,0.007651747049327612
shift,proposed_cal,5,0.12947391365035116,0.1159298798256925,0.013544033824658658,0.009410640082630357,10.46082059528593,5,0.0069898975016836895,0.029913800473475194
shift,oracle,5,0.08234928640508868,0.1159298798256925,-0.033580593420603815,0.0022475276738073142,-40.77824458054896,0,-0.036855438995706494,-0.031219649450724793
