scenario,seed,method,params,interval_slots,telemetry_delay_slots,wall_s,realised_load,violation_ratio,weighted_violation_ratio,violation_ratio_ll,violation_ratio_embb,served_ratio,fh_utilisation,fh_allocated_fraction,fh_unused_allocation_fraction,offered_fh_load,mean_queueing_delay_ms,p99_queueing_delay_ms,mean_backlog_bits,jain_fairness_service_ratio,min_cell_service_ratio,residual_backlog_bits,decision_time_ms_mean,decision_time_ms_p95,num_decisions,slots_counted,controller_stats
low,3001,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.378808924000623,0.48996483329189056,0.002319263521804878,0.0037939606386557406,0.006721159550478134,0.0008370929771162972,0.9975570925532032,0.4894535353075669,1.0,0.510546464692433,0.48997430185173696,1.3435450990590367,7.5,2322044.6136969575,0.9999911856266297,0.9922434720825152,4961912.364670698,0.08186862799084338,0.09643769972171867,1000,19000,
low,3001,point_forecast,"{""margin"": 0.0}",20,2,3.763608796999506,0.48996483329189056,0.0010306559734356545,0.0017383119136985309,0.0031429730299456517,0.0003194137946543355,0.9988126277977001,0.49017628043043276,1.0,0.5098237195695672,0.48997430185173696,1.2224266057774993,6.5,2107384.233968802,0.9999979311099598,0.9963839638147456,4864986.170934482,2.407462271017721,2.7263553504781157,1000,19000,
low,3001,proposed_window,{},20,2,2.8189000809998106,0.48996483329189056,0.0008095257704456592,0.0016149697350222982,0.0032137351151821127,0.0,0.9990985359664719,0.49027850062202927,1.0,0.5097214993779707,0.48997430185173696,1.321497266520043,6.5,2273620.4118419904,0.999996659333359,0.9949196933772991,3519692.0489843776,1.5047593740036973,2.3576844000672277,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.0}"
low,3001,proposed,{},20,2,3.8700880080004936,0.48996483329189056,0.0004126358270330654,0.0008231910540382597,0.001638122337215195,0.0,0.9993891631976941,0.49048710155668157,1.0,0.5095128984433185,0.48997430185173696,1.146199733378528,5.5,1972062.3188128541,0.9999991155835373,0.9974463555032331,4191133.2123840493,2.5718242399962037,3.3975597506923805,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.0}"
low,3001,proposed_cal,"{""gamma"": 0.005}",20,2,3.836372116000348,0.48996483329189056,0.0005145667113220328,0.001026538864819031,0.0020427775985056183,0.0,0.9992695260433987,0.4904335730484641,1.0,0.5095664269515359,0.48997430185173696,1.1020579901063505,5.5,1896836.8159855888,0.9999987446859814,0.9972476425810937,4508333.784524248,2.514000034003402,3.4220713004287973,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.1046250000000001}"
low,3001,oracle,{},20,2,1.3071824979997473,0.48996483329189056,0.00012194607167818509,8.10924215365868e-05,0.0,0.0001630067587785947,0.9997890015231768,0.49075337684939824,1.0,0.5092466231506018,0.48997430185173696,0.8486170823843725,5.0,1461386.6296472042,0.999999833277921,0.9989143057968896,2451166.119600535,0.08029511098266084,0.10025319943451905,1000,19000,
low,3002,static_equal,{},20,2,1.2064437179997185,0.47328316748068305,0.03525422666451271,0.025210996051835473,0.005878166603322468,0.045561896676134986,0.9644290108573103,0.455326193053932,1.0,0.5446738069460679,0.47281421694469733,1.7720959998629497,10.0,3354917.8394220355,0.9990543129840567,0.9019360217797097,5767838.870262511,0.016938932997618394,0.0204667005164083,1000,19000,
low,3002,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.295065672000419,0.47328316748068305,0.0026684466664183785,0.0052684353368212715,0.010273312698645192,0.0,0.9973341206591787,0.47227613264008916,1.0,0.5277238673599108,0.47281421694469733,0.8791534787114373,5.5,1442505.8683743726,0.9999703441420479,0.9862555261486398,910787.1238089077,0.03479661800975009,0.04930584987050678,1000,19000,
low,3002,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.3818264400006228,0.47328316748068305,0.002225704731864211,0.003113826964569337,0.004823427820756764,0.001314198140234795,0.9977679441432283,0.47242892631926275,1.0,0.5275710736807373,0.47281421694469733,1.294696213190952,8.0,2132398.373920985,0.9999959895054243,0.9946667270735661,1170152.3048569667,0.08269943799768953,0.09922774975166249,1000,19000,
low,3002,point_forecast,"{""margin"": 0.0}",20,2,3.6183290789995226,0.47328316748068305,0.0011108502738593053,0.001233119451025945,0.0014684828754193786,0.0009853617354167587,0.9989069452366716,0.4730363962339661,1.0,0.5269636037660339,0.47281421694469733,1.190705666511282,7.0,1958077.381788096,0.9999985948219332,0.9967422727187595,788709.6096106207,2.296833851984047,2.522531850354426,1000,19000,
