scenario,seed,method,params,interval_slots,telemetry_delay_slots,wall_s,realised_load,mantissa_bits,violation_ratio,weighted_violation_ratio,violation_ratio_ll,violation_ratio_embb,served_ratio,fh_utilisation,fh_allocated_fraction,fh_unused_allocation_fraction,offered_fh_load,mean_queueing_delay_ms,p99_queueing_delay_ms,mean_backlog_bits,jain_fairness_service_ratio,min_cell_service_ratio,residual_backlog_bits,decision_time_ms_mean,decision_time_ms_p95,num_decisions,slots_counted,controller_stats
moderate,3002,point_forecast,"{""margin"": 0.0}",20,2,3.5821783339997637,0.4175033655990312,6,0.0006853241064058882,0.000497940021282792,0.0001372329242578862,0.0008776420357025179,0.999345134206815,0.4173501186111339,1.0,0.5826498813888661,0.4170896842333581,0.9515538353495958,7.5,2035368.6819617245,0.9999985402640227,0.9967520081337308,429821.0937509792,2.2574984300108554,2.53130754972517,1000,19000,
moderate,3002,proposed,{},20,2,3.5894505229998686,0.4175033655990312,6,0.00041167563153273726,0.0002709299598364461,0.0,0.0005561271526974752,0.9996250659551862,0.41750093702597735,1.0,0.5824990629740227,0.4170896842333581,0.8300275643617739,6.5,1772476.5804201916,0.9999993827340916,0.9979970361263167,283091.08762712637,2.2928398529929837,2.4129679999532527,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.0}"
moderate,3000,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.2608737870004916,0.6407999762888352,9,0.016570096858785844,0.03142976314354265,0.06354956271060826,0.0024327915910033024,0.9834251188275274,0.6320162126480731,1.0,0.36798378735192694,0.6433650289355078,1.813426955202657,9.5,4027955.204291438,0.9990639968892899,0.9287202348299212,5068021.297590246,0.03259672300100647,0.040077400035443134,1000,19000,
moderate,3000,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.3061198770001283,0.6407999762888352,9,0.035887778852410526,0.033036598393342366,0.026873650779320486,0.03860035716681933,0.9636582838996912,0.6208233589457166,1.0,0.37917664105428334,0.6433650289355078,2.9986567602985645,10.0,7041245.364545635,0.999859124889151,0.9508022735501279,15089787.391799927,0.0790438209887725,0.094283149792318,1000,19000,
moderate,3000,point_forecast,"{""margin"": 0.0}",20,2,3.563285365000411,0.6407999762888352,9,0.028486904347584368,0.023852654395115653,0.013835526367841487,0.032895873230853544,0.971497510206974,0.6256913658582718,1.0,0.3743086341417282,0.6433650289355078,2.797784728262098,10.0,6546990.851456699,0.9998249784768679,0.9590335404792161,5365842.437397873,2.249027053017926,2.3793724504685088,1000,19000,
moderate,3000,proposed,{},20,2,4.418722827000238,0.6407999762888352,9,0.01728535056775132,0.015357657317468921,0.011190866513467417,0.019119334415009178,0.9825290899578287,0.6324355756518716,1.0,0.36756442434812836,0.6433650289355078,2.683330016829749,10.0,6133881.4118747,0.9999522183771741,0.9737464503995141,9249408.842391463,3.120955814993067,3.448405699873547,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.0}"
moderate,3001,reactive_prop,"{""margin"": 0.0, ""ewma_window"": 20}",20,2,1.2362871409995932,0.6369542832794578,9,0.0216060068434027,0.03801842450977522,0.07059624037746494,0.005110414796562127,0.9782222428055173,0.6222002662497199,1.0,0.37779973375028003,0.6369665924072581,1.8864741552123954,10.0,4292001.766964677,0.998956431988398,0.9286446943118656,9032035.442496661,0.031257229020411614,0.03634905033322866,1000,19000,
moderate,3001,queue_aware,"{""margin"": 0.0, ""num_horizons"": 1}",20,2,1.2693983050003226,0.6369542832794578,9,0.045222511271416084,0.04030977389885311,0.03055823961651553,0.05016014527381578,0.9548261890636268,0.6088880158781156,1.0,0.39111198412188447,0.6369665924072581,2.9833219323292837,10.0,7239192.744169401,0.9996854568805272,0.9301108189110207,10167418.459688716,0.0754132429983656,0.08783435014265706,1000,19000,
moderate,3001,point_forecast,"{""margin"": 0.0}",20,2,3.4996618929999386,0.6369542832794578,9,0.037802332576264704,0.030751562877094116,0.016756142966735846,0.04488883396429873,0.9622690439990559,0.6134436726985173,1.0,0.38655632730148265,0.6369665924072581,2.7785485590190393,10.0,6744872.979417573,0.9996102924514673,0.9392006428291683,9347163.785314238,2.2076525970205694,2.3340660000485514,1000,19000,
moderate,3001,proposed,{},20,2,4.425462858999708,0.6369542832794578,9,0.02330097200301644,0.01947371953945376,0.011876817695274416,0.027147620107064434,0.9766949125406651,0.6222241122371797,1.0,0.37777588776282034,0.6369665924072581,2.6956974623357532,10.0,6352548.905419595,0.9998232276902717,0.9582864746489168,9260752.627735438,3.151370377020612,3.4609214996635274,1000,19000,"{""decisions"": 1000, ""scored_horizons"": 998, ""delta_mean_abs"": 0.0}"
