interval_slots,method,weighted_violation_ratio_mean,weighted_violation_ratio_std,violation_ratio_ll_mean,violation_ratio_ll_std,violation_ratio_embb_mean,violation_ratio_embb_std,fh_utilisation_mean,fh_utilisation_std
4,oracle,0.05895112214180127,0.011381291139102464,0.0,0.0,0.11690244996501171,0.02097816041994258,0.7099272479364479,0.009318006125470273
4,point_forecast,0.05578650884716963,0.010323888930493953,0.0019163048878477328,0.0007731513285211749,0.10874588197810904,0.018193554278211267,0.7140782335472177,0.010064301630616543
4,proposed,0.025543141279059017,0.006626259451263922,0.0005833674925965049,0.0003293693349227489,0.05011615397538891,0.012652938412831572,0.7480631859505663,0.014483582483233899
4,queue_aware,0.06721812202616716,0.011530599268197588,0.002604616462071418,0.0003079660765931803,0.13077979865418873,0.020902138667454478,0.7012969802924806,0.009217936622316824
4,reactive_prop,0.034767638074605096,0.007349839096091557,0.04067548513721989,0.00908555463419272,0.028866682729302512,0.0058655520642097786,0.7517095001009716,0.016260240308556186
10,oracle,0.05018666539512656,0.010217231246235494,3.628626701533953e-05,1.2099000865900093e-05,0.09957829506835525,0.019753167428854586,0.7198234748457925,0.012199214973659177
10,point_forecast,0.06586852104210417,0.010138321016272083,0.022141459470886585,0.0011694180859970398,0.10889152725698781,0.018175924260564517,0.7097105513233658,0.011034809875535439
10,proposed,0.043594828345908776,0.009340792511951433,0.009530696436271817,0.0012006381362589147,0.0771632188284354,0.017331719320113573,0.7307653282128744,0.013501733792496615
10,queue_aware,0.09095111015329611,0.009549631448829438,0.04778964408251232,0.0012176628360916896,0.13342266834943517,0.018799586276920063,0.6903283602210326,0.01065338912539195
10,reactive_prop,0.06897061788534956,0.006687822541684508,0.11303291251888524,0.008171115915329057,0.025514757298957372,0.005225220103683029,0.7383745749689897,0.01648173074383478
20,oracle,0.05777035252322849,0.009538107428664875,8.641457900880222e-05,9.949422332895015e-05,0.11459018676081285,0.017929050824408977,0.7112856459320694,0.011686443480043133
20,point_forecast,0.084412541531523,0.010368153030785998,0.028365787954148753,0.0014083741774597574,0.13954103466419826,0.018028279908856942,0.6914486462798485,0.009702917203434623
20,proposed,0.06766771396100103,0.009983926870899846,0.029439588455193424,0.002081850931739033,0.10527962038452317,0.017568302081945684,0.7105931321895179,0.012350042478389297
20,queue_aware,0.09632425713838151,0.009876335732823682,0.046952212589677765,0.0005905041711767641,0.14489690896107232,0.017953342654105607,0.6843201710907899,0.01011474670290473
20,reactive_prop,0.08267305732658653,0.006890728152093999,0.13769724270659786,0.007712488820775692,0.028388658798894476,0.005665254715384411,0.7315681235217354,0.0167238982993902
40,oracle,0.09759034630701167,0.009983820398147393,0.00030564326379998286,0.0002677512215313184,0.1934247285921226,0.01608429171935623,0.6665534500781783,0.008815154791588882
40,point_forecast,0.13027140837417348,0.008715960121595877,0.018523653348183747,0.0013025140031576962,0.24037463016360017,0.014040997812857553,0.6367780495404448,0.008517538384284273
40,proposed,0.12193457435749244,0.00776608453878299,0.029932412808163028,0.0007117688810307824,0.21264723681456088,0.011814372936683297,0.6506480686338364,0.011391262658043296
40,queue_aware,0.1475997049500833,0.00827890383178353,0.03358239623657735,0.0019299209891478985,0.26006297466467254,0.012014118327842882,0.6229831212949315,0.009375049703853907
40,reactive_prop,0.10858094711190368,0.004482512915174391,0.15061712296666538,0.005683988634055072,0.06714393994571612,0.003963606450954805,0.7072600355253851,0.016083287726647917
